symbol,code,date,shareholding,shareholding_percent,close
600526.SH,600526,2021-03-01,"1,343,592",0.24,4.360
600527.SH,600527,2021-03-01,"3,481,754",0.20,2.800
600528.SH,600528,2021-03-01,"1,643,875",0.07,8.880
600529.SH,600529,2021-03-01,"47,848,083",8.04,38.470
600531.SH,600531,2021-03-01,"14,912,586",1.36,6.320
600532.SH,600532,2021-03-01,"37,201",0.00,15.280
600535.SH,600535,2021-03-01,"2,514,480",0.16,14.000
600536.SH,600536,2021-03-01,"9,695,581",1.96,59.930
600537.SH,600537,2021-03-01,"626,291",0.05,4.120
600545.SH,600545,2021-03-01,"3,919,912",0.20,3.260
600546.SH,600546,2021-03-01,"12,098",0.00,6.690
600547.SH,600547,2021-03-01,"67,508,793",1.90,22.360
600548.SH,600548,2021-03-01,"6,317,035",0.44,8.580
600549.SH,600549,2021-03-01,"57,817,433",4.11,21.010
600551.SH,600551,2021-03-01,"247,978",0.04,6.970
600552.SH,600552,2021-03-01,"1,643,654",0.21,7.920
600556.SH,600556,2021-03-01,"2,428,856",0.69,12.660
600557.SH,600557,2021-03-01,"5,538,404",0.93,10.550
600559.SH,600559,2021-03-01,"16,452,522",1.87,21.610
600561.SH,600561,2021-03-01,"11,900",0.00,4.080
600562.SH,600562,2021-03-01,"2,909,485",0.44,14.930
600563.SH,600563,2021-03-01,"8,518,064",3.78,90.440
600565.SH,600565,2021-03-01,"30,287,947",1.26,2.600
600566.SH,600566,2021-03-01,"18,301,270",2.24,20.280
600567.SH,600567,2021-03-01,"201,954,772",4.39,3.930
600568.SH,600568,2021-03-01,"504,541",0.03,1.560
600570.SH,600570,2021-03-01,"80,015,097",7.66,90.360
600571.SH,600571,2021-03-01,"673,245",0.15,7.390
600572.SH,600572,2021-03-01,"10,456,316",0.39,4.340
600577.SH,600577,2021-03-01,"48,209,209",2.50,3.530
600578.SH,600578,2021-03-01,"4,743,956",0.07,2.890
600580.SH,600580,2021-03-01,"21,737,470",1.66,12.170
600582.SH,600582,2021-03-01,"177,650,271",4.29,3.190
600583.SH,600583,2021-03-01,"108,828,899",2.46,4.920
600584.SH,600584,2021-03-01,"14,636,358",1.07,40.470
600585.SH,600585,2021-03-01,"350,100,668",8.75,53.140
600586.SH,600586,2021-03-01,"1,377,329",0.09,7.260
600587.SH,600587,2021-03-01,"9,626,052",2.38,12.600
600588.SH,600588,2021-03-01,"131,730,051",4.05,37.680
600589.SH,600589,2021-03-01,101,0.00,3.200
600594.SH,600594,2021-03-01,"673,364",0.08,5.220
600596.SH,600596,2021-03-01,"14,115,216",2.01,13.230
