symbol,code,date,shareholding,shareholding_percent
600373.SH,600373,2021-02-04,"62,316,381",4.59
600375.SH,600375,2021-02-04,"74,101",0.01
600376.SH,600376,2021-02-04,"22,974,064",0.89
600377.SH,600377,2021-02-04,"12,676,590",0.33
600378.SH,600378,2021-02-04,"5,751,774",1.61
600380.SH,600380,2021-02-04,"102,031,476",5.22
600381.SH,600381,2021-02-04,100,0.00
600382.SH,600382,2021-02-04,"2,366",0.00
600383.SH,600383,2021-02-04,"124,872,177",2.76
600386.SH,600386,2021-02-04,"497,355",0.06
600387.SH,600387,2021-02-04,"4,214,416",1.04
600388.SH,600388,2021-02-04,"11,731,755",1.09
600389.SH,600389,2021-02-04,50,0.00
600391.SH,600391,2021-02-04,"517,350",0.15
600392.SH,600392,2021-02-04,"37,973,198",2.16
600393.SH,600393,2021-02-04,"2,087,838",0.21
600395.SH,600395,2021-02-04,"25,074,596",1.51
600396.SH,600396,2021-02-04,"132,900",0.00
600397.SH,600397,2021-02-04,"489,383",0.04
600398.SH,600398,2021-02-04,"16,163,775",0.37
600399.SH,600399,2021-02-04,"55,137",0.00
600400.SH,600400,2021-02-04,"1,012,463",0.03
600403.SH,600403,2021-02-04,"62,159",0.00
600405.SH,600405,2021-02-04,"88,002",0.01
600406.SH,600406,2021-02-04,"580,926,701",12.67
600409.SH,600409,2021-02-04,"27,893,619",1.35
600410.SH,600410,2021-02-04,"1,173,683",0.10
600415.SH,600415,2021-02-04,"15,434,441",0.28
600416.SH,600416,2021-02-04,"358,882",0.03
600418.SH,600418,2021-02-04,"2,337,197",0.12
600420.SH,600420,2021-02-04,"6,562,072",0.63
600422.SH,600422,2021-02-04,"7,974,602",1.05
600425.SH,600425,2021-02-04,"34,473",0.00
600426.SH,600426,2021-02-04,"54,000,504",3.32
600428.SH,600428,2021-02-04,"850,949",0.03
600433.SH,600433,2021-02-04,"667,041",0.05
600435.SH,600435,2021-02-04,"1,076,895",0.07
600436.SH,600436,2021-02-04,"19,058,769",3.15
600438.SH,600438,2021-02-04,"215,973,800",5.03
600439.SH,600439,2021-02-04,"3,891,079",0.34
600446.SH,600446,2021-02-04,"14,590,768",1.70
600449.SH,600449,2021-02-04,"400,777",0.08
600452.SH,600452,2021-02-04,"3,261,699",0.74
600458.SH,600458,2021-02-04,"209,036",0.02
